"Table Name","Table Descripition","Property Name","DICTIONARYNAME","ATTRIBUTE","Data Type","Multi-Valued","Code File","SB+ Code Table","Conversion Code","Dec. Places","OWNER  SID","CREATEDBY"
"AD Brand Pubs","","@id ","@ID","0","Text","No","","","","0","gstierley","Greg Stierley"
"AD Brand Pubs","","Ack Agency ID","ACK.AGENCY.ID","31","Text","No","","","","0","gstierley","Greg Stierley"
"AD Brand Pubs","","Ack Email Contact ID ","ACK.EMAIL.CONTACT.ID","36","Text","Yes","","","","0","gstierley","Greg Stierley"
"AD Brand Pubs","","Ad Index","INDEX.NAME","10","Text","No","","","","0","gstierley","Greg Stierley"
"AD Brand Pubs","","Agency Contact 1 ","AG.CONTACT.1","33","Text","No","","","","0","gstierley","Greg Stierley"
"AD Brand Pubs","","Agency Contact 2 ","AG.CONTACT.2","34","Text","No","","","","0","gstierley","Greg Stierley"
"AD Brand Pubs","","Agency Contact 3 ","AG.CONTACT.3","35","Text","No","","","","0","gstierley","Greg Stierley"
"AD Brand Pubs","","Bill Contact ID","BILL.CONTACT.ID","38","Text","No","","","","0","gstierley","Greg Stierley"
"AD Brand Pubs","","Billing Contact ","BILLING.CONTACT","4","Text","No","","","","0","gstierley","Greg Stierley"
"AD Brand Pubs","","Brand Rep ID","BRAND.REP.ID","2","Text","Yes","","","","0","gstierley","Greg Stierley"
"AD Brand Pubs","","Brand Rep Pct ","BRAND.REP.PCT","3","Numeric","Yes","","","","2","gstierley","Greg Stierley"
"AD Brand Pubs","","Inv Email Contact ID ","INV.EMAIL.CONTACT.ID","58","Text","Yes","","","","0","gstierley","Greg Stierley"
"AD Brand Pubs","","Invoice Form ","INVOICE.FORM","29","Numeric","No","","","","0","gstierley","Greg Stierley"
"AD Brand Pubs","","Last Changed By","LAST.CHANGED.BY","0","Text","No","","","","0","ADMIN","System Administrator"
"AD Brand Pubs","","Last Changed Date","LAST.CHANGED.DATE","0","Date","No","","","","0","ADMIN","System Administrator"
"AD Brand Pubs","","Last Changed Time","LAST.CHANGED.TIME","0","Time","No","","","","0","ADMIN","System Administrator"
"AD Brand Pubs","","New Order Date ","NEW.ORDER.DATE","39","Date","No","","","","0","gstierley","Greg Stierley"
"AD Brand Pubs","","Planning Agency ID","PLANNING.AGENCY.ID","32","Text","No","","","","0","gstierley","Greg Stierley"
"AD Brand Pubs","","Pub Agency ID","PUB.AGENCY.ID","30","Text","No","","","","0","gstierley","Greg Stierley"
"AD Brand Pubs","","Rep Effective Date ","REP.EFF.DATE","8","Date","Yes","","","","0","gstierley","Greg Stierley"
"AD Brand Pubs","","Rep Pos ","REP.POS","9","Numeric","Yes","","","","0","gstierley","Greg Stierley"
"AD Brand Pubs","","RS Addr 1 ","RS.ADDR1","15","Text","No","","","","0","gstierley","Greg Stierley"
"AD Brand Pubs","","RS Addr 2 ","RS.ADDR2","16","Text","No","","","","0","gstierley","Greg Stierley"
"AD Brand Pubs","","RS Bonus No ","RS.BONUS.NO","21","Text","Yes","","","","0","gstierley","Greg Stierley"
"AD Brand Pubs","","RS City ","RS.CITY","17","Text","No","","","","0","gstierley","Greg Stierley"
"AD Brand Pubs","","RS Contact ","RS.CONTACT","13","Text","No","","","","0","gstierley","Greg Stierley"
"AD Brand Pubs","","RS Country ID","RS.COUNTRY","20","Text","No","","","","0","gstierley","Greg Stierley"
"AD Brand Pubs","","RS Email","RS.EMAIL","25","Text","No","","","","0","gstierley","Greg Stierley"
"AD Brand Pubs","","RS Fax ","RS.FAX","24","Text","No","","","","0","gstierley","Greg Stierley"
"AD Brand Pubs","","RS Item Type ","RS.ITEM.TYPE","22","Text","No","","","","0","gstierley","Greg Stierley"
"AD Brand Pubs","","RS Name ","RS.NAME","12","Text","No","","","","0","gstierley","Greg Stierley"
"AD Brand Pubs","","RS Phone ","RS.PHONE","23","Text","No","","","","0","gstierley","Greg Stierley"
"AD Brand Pubs","","RS Reqd Ind ","RS.REQD.IND","11","Text","No","","","","0","gstierley","Greg Stierley"
"AD Brand Pubs","","RS State ","RS.STATE","18","Text","No","","","","0","gstierley","Greg Stierley"
"AD Brand Pubs","","RS URL","RS.URL","26","Text","No","","","","0","gstierley","Greg Stierley"
"AD Brand Pubs","","RS Zip ","RS.ZIP","19","Text","No","","","","0","gstierley","Greg Stierley"
"AD Brand Pubs","","SQL Ack Agency Name ID","SQL.ACK.AGENCY.NAME.ID","41","Numeric","No","","","","0","gstierley","Greg Stierley"
"AD Brand Pubs","","Sql Agency Name Id ","SQL.AGENCY.NAME.ID","40","Numeric","No","","","","0","gstierley","Greg Stierley"
"AD Brand Pubs","","SQL Contact Email Address","SQL.CONTACT.EMAIL.ADDR","45","Text","Yes","","","","0","gstierley","Greg Stierley"
"AD Brand Pubs","","SQL Contact Method Of Contact ","SQL.CONTACT.METHOD.OF.CONTACT","44","Text","Yes","","","","0","gstierley","Greg Stierley"
"AD Brand Pubs","","SQL Contact Name ID","SQL.CONTACT.NAME.ID","43","Numeric","Yes","","","","0","gstierley","Greg Stierley"
"AD Brand Pubs","","SQL Name ID","SQL.NAME.ID","60","Numeric","No","","","","0","gstierley","Greg Stierley"
"AD Brand Pubs","","SQL Planning Agency Name ID","SQL.PLANNING.AGENCY.NAME.ID","42","Numeric","No","","","","0","gstierley","Greg Stierley"
"AD Brand Pubs","","Terms Code ","TERMS.CODE","46","Text","No","","","","0","gstierley","Greg Stierley"
"AD Brand Pubs","","Territory ID","TERRITORY.ID","5","Text","No","","","","0","gstierley","Greg Stierley"
"AD Brand Pubs","","Udf No ","UDF.NO","6","Numeric","No","","","","0","gstierley","Greg Stierley"
"AD Brand Pubs","","Udf Value ","UDF.VALUE","7","Text","No","","","","0","gstierley","Greg Stierley"
"AD Brand Pubs Reps","","Advertiser ID","CLIENT.ID","0","Text","No","","","","0","poconnor","Pat O'Connor"
"AD Brand Pubs Reps","","Brand Code","BRAND.CODE","0","Text","No","","","","0","poconnor","Pat O'Connor"
"AD Brand Pubs Reps","","Brand ID","BRAND.ID","0","Text","No","","","","0","poconnor","Pat O'Connor"
"AD Brand Pubs Reps","","Effective Date","EFFECTIVE.DATE","1","Date","No","","","","0","poconnor","Pat O'Connor"
"AD Brand Pubs Reps","","Effective Period","EFFEC_DATE","1","Text","No","","","","0","ADMIN","Greg Stierley"
"AD Brand Pubs Reps","","Last Changed By User Id","CHANGED_BY","4","Text","No","","","","0","ADMIN","Greg Stierley"
"AD Brand Pubs Reps","","Last Changed Date","CHANGED_DATE","5","Date","No","","","","0","ADMIN","Greg Stierley"
"AD Brand Pubs Reps","","Publication Id","PUB_CODE","0","Text","No","","","","0","ADMIN","Greg Stierley"
"AD Brand Pubs Reps","","Record Key","ID","0","Text","No","","","","0","ADMIN","Greg Stierley"
"AD Brand Pubs Reps","","Salesrep Id","REPS","2","Text","Yes","","","","0","ADMIN","Greg Stierley"
"AD Brand Pubs Reps","","Salesrep Percentage","REP_PCTS","3","Numeric","Yes","","","","2","ADMIN","Greg Stierley"
"AD Brands","","Ad Headlines ","AD_HEADLINES","26","Text","Yes","","","","0","ADMIN","System Administrator"
"AD Brands","","Address Line 1","ADDR1","12","Text","No","","","","0","ADMIN","Greg Stierley"
"AD Brands","","Address Line 2","ADDR2","13","Text","No","","","","0","ADMIN","Greg Stierley"
"AD Brands","","Address Line 3","ADDR3","87","Text","No","","","","0","ADMIN","Greg Stierley"
"AD Brands","","Adv Brand Id","ID","0","Text","No","","","","0","ADMIN","Greg Stierley"
"AD Brands","","Advertiser ID","CLIENT.ID","0","Text","No","","","","0","flucero","Ferdie Lucero"
"AD Brands","","Advertiser Index Name","ADINDEX_NAME","55","Text","No","","","","0","ADMIN","Greg Stierley"
"AD Brands","","Agency","AGENCY","3","Text","No","","","","0","ADMIN","Greg Stierley"
"AD Brands","","Billing Contact","BILL_CONTACT","6","Text","Yes","","","","0","ADMIN","Greg Stierley"
"AD Brands","","Brand ID","BRAND.CODE","0","Text","No","","","","0","ADMIN","Greg Stierley"
"AD Brands","","Brand Logo Url ","BRAND.LOGO.URL","168","Text","No","","","","0","gstierley","Greg Stierley"
"AD Brands","","Brand Name","BRAND_NAME","1","Text","No","","","","0","ADMIN","Greg Stierley"
"AD Brands","","Brand Notes","SPARE1","23","Text","No","","","","0","flucero","Ferdie Lucero"
"AD Brands","","City","CITY","14","Text","No","","","","0","ADMIN","Greg Stierley"
"AD Brands","","Confirmation Agency","ACK_AGENCY","88","Text","No","","","","0","ADMIN","Greg Stierley"
"AD Brands","","Contact","CONTACT","18","Text","No","","","","0","ADMIN","Greg Stierley"
"AD Brands","","Coop Flag","COOP_FLAG","54","Text","No","","","","0","ADMIN","Greg Stierley"
"AD Brands","","Country Code","COUNTRY_CODE","85","Text","No","","","","0","ADMIN","Greg Stierley"
"AD Brands","","Date Time Stamp ","DATE.TIME.STAMP","200","Text","No","","","","0","gstierley","Greg Stierley"
"AD Brands","","Digital Address ID","DIGITAL.ADDRESS.ID","142","Text","No","","","","0","poconnor","Pat O'Connor"
"AD Brands","","Digital Agency ID","DIGITAL.AGENCY","140","Text","No","","","","0","poconnor","Pat O'Connor"
"AD Brands","","Digital Billing Contact ID","DIGITAL.BILLING.CONTACT","141","Text","No","","","","0","poconnor","Pat O'Connor"
"AD Brands","","Digital Conf Address ID","DIGITAL.CONF.ADDRESS.ID","144","Text","No","","","","0","poconnor","Pat O'Connor"
"AD Brands","","Digital Conf Contact ID","DIGITAL.CONF.CONTACT.ID","143","Text","No","","","","0","poconnor","Pat O'Connor"
"AD Brands","","Digital Conf Contact IDs","DIGITAL.CONF.CONTACT.IDS","158","Text","Yes","","","","0","poconnor","Pat O'Connor"
"AD Brands","","Digital Discount Pct ","DIGITAL.DISCOUNT.PCT","166","Numeric","No","","","","2","gstierley","Greg Stierley"
"AD Brands","","Digital Original Rep Pcts","DIGITAL.ORIG.REP.PCTS","152","Numeric","Yes","","","","2","poconnor","Pat O'Connor"
"AD Brands","","Digital Original Reps IDs","DIGITAL.ORIG.REPS.IDS","151","Text","Yes","","","","0","poconnor","Pat O'Connor"
"AD Brands","","Digital Planning Agency ID","DIGITAL.PLANNING.AGENCY.ID","164","Text","No","","","","0","poconnor","Pat O'Connor"
"AD Brands","","Digital Production Controller ID","DIGITAL.PROD.CONTROLLER.ID","156","Text","No","","","","0","poconnor","Pat O'Connor"
