"Table Name","Table Descripition","Property Name","DICTIONARYNAME","ATTRIBUTE","Data Type","Multi-Valued","Code File","SB+ Code Table","Conversion Code","Dec. Places","OWNER  SID","CREATEDBY","CREATEDON","MODIFIEDON"
"AD Affidavit Batch File","","@id","@ID","0","Text","No","","","","0","GREG.STIERLEY","Greg Stierley","2021-07-02","2021-07-02"
"AD Affidavit Batch File","","Affidavit Date","AFF.DATE","4","Date","No","","","","0","GREG.STIERLEY","Greg Stierley","2021-07-02","2021-07-02"
"AD Affidavit Batch File","","Affidavit IDs","AFF.IDS","10","Numeric","Yes","","","","0","GREG.STIERLEY","Greg Stierley","2021-07-02","2021-07-02"
"AD Affidavit Batch File","","Batch ID","BATCH.ID","0","Text","No","","","","0","GREG.STIERLEY","Greg Stierley","2021-07-02","2021-07-02"
"AD Affidavit Batch File","","Batch Status","BATCH.STATUS","15","Text","No","","","","0","GREG.STIERLEY","Greg Stierley","2021-07-02","2021-07-02"
"AD Affidavit Batch File","","Completed Date","COMPLETED.DATE","18","Date","No","","","","0","GREG.STIERLEY","Greg Stierley","2021-07-02","2021-07-02"
"AD Affidavit Batch File","","Completed Time","COMPLETED.TIME","19","Time","No","","","","0","GREG.STIERLEY","Greg Stierley","2021-07-02","2021-07-02"
"AD Affidavit Batch File","","Created By","CREATED.BY","3","Text","No","","","","0","GREG.STIERLEY","Greg Stierley","2021-07-02","2021-07-02"
"AD Affidavit Batch File","","Date Created","DATE.CREATED","1","Date","No","","","","0","GREG.STIERLEY","Greg Stierley","2021-07-02","2021-07-02"
"AD Affidavit Batch File","","Processing Date","PROCESSING.DATE","16","Date","No","","","","0","GREG.STIERLEY","Greg Stierley","2021-07-02","2021-07-02"
"AD Affidavit Batch File","","Processing Time","PROCESSING.TIME","17","Time","No","","","","0","GREG.STIERLEY","Greg Stierley","2021-07-02","2021-07-02"
"AD Affidavit Batch File","","Time Created","TIME.CREATED","2","Time","No","","","","0","GREG.STIERLEY","Greg Stierley","2021-07-02","2021-07-02"
"AD Brand Pubs","","@id ","@ID","0","Text","No","","","","0","gstierley","Greg Stierley","2017-02-28","2017-02-28"
"AD Brand Pubs","","Ack Agency ID","ACK.AGENCY.ID","31","Text","No","","","","0","gstierley","Greg Stierley","2017-02-28","2017-02-28"
"AD Brand Pubs","","Ack Email Contact ID ","ACK.EMAIL.CONTACT.ID","36","Text","Yes","","","","0","gstierley","Greg Stierley","2017-02-28","2017-02-28"
"AD Brand Pubs","","Ad Index","INDEX.NAME","10","Text","No","","","","0","gstierley","Greg Stierley","2017-02-28","2017-02-28"
"AD Brand Pubs","","Agency Contact 1 ","AG.CONTACT.1","33","Text","No","","","","0","gstierley","Greg Stierley","2017-02-28","2017-02-28"
"AD Brand Pubs","","Agency Contact 2 ","AG.CONTACT.2","34","Text","No","","","","0","gstierley","Greg Stierley","2017-02-28","2017-02-28"
"AD Brand Pubs","","Agency Contact 3 ","AG.CONTACT.3","35","Text","No","","","","0","gstierley","Greg Stierley","2017-02-28","2017-02-28"
"AD Brand Pubs","","Bill Contact ID","BILL.CONTACT.ID","38","Text","No","","","","0","gstierley","Greg Stierley","2017-02-28","2017-02-28"
"AD Brand Pubs","","Billing Contact ","BILLING.CONTACT","4","Text","No","","","","0","gstierley","Greg Stierley","2017-02-28","2017-02-28"
"AD Brand Pubs","","Brand Rep ID","BRAND.REP.ID","2","Text","Yes","","","","0","gstierley","Greg Stierley","2017-02-28","2017-02-28"
"AD Brand Pubs","","Brand Rep Pct ","BRAND.REP.PCT","3","Numeric","Yes","","","","2","gstierley","Greg Stierley","2017-02-28","2017-02-28"
"AD Brand Pubs","","Inv Email Contact ID ","INV.EMAIL.CONTACT.ID","58","Text","Yes","","","","0","gstierley","Greg Stierley","2017-02-28","2017-02-28"
"AD Brand Pubs","","Invoice Form ","INVOICE.FORM","29","Numeric","No","","","","0","gstierley","Greg Stierley","2017-02-28","2017-02-28"
"AD Brand Pubs","","Last Changed By","LAST.CHANGED.BY","0","Text","No","","","","0","ADMIN","System Administrator","2020-05-25","2020-05-25"
"AD Brand Pubs","","Last Changed Date","LAST.CHANGED.DATE","0","Date","No","","","","0","ADMIN","System Administrator","2020-05-25","2020-05-25"
"AD Brand Pubs","","Last Changed Time","LAST.CHANGED.TIME","0","Time","No","","","","0","ADMIN","System Administrator","2020-05-25","2020-05-25"
"AD Brand Pubs","","New Order Date ","NEW.ORDER.DATE","39","Date","No","","","","0","gstierley","Greg Stierley","2017-02-28","2017-02-28"
"AD Brand Pubs","","Planning Agency ID","PLANNING.AGENCY.ID","32","Text","No","","","","0","gstierley","Greg Stierley","2017-02-28","2017-02-28"
"AD Brand Pubs","","Pub Agency ID","PUB.AGENCY.ID","30","Text","No","","","","0","gstierley","Greg Stierley","2017-02-28","2017-02-28"
"AD Brand Pubs","","Rep Effective Date ","REP.EFF.DATE","8","Date","Yes","","","","0","gstierley","Greg Stierley","2017-02-28","2017-02-28"
"AD Brand Pubs","","Rep Pos ","REP.POS","9","Numeric","Yes","","","","0","gstierley","Greg Stierley","2017-02-28","2017-02-28"
"AD Brand Pubs","","RS Addr 1 ","RS.ADDR1","15","Text","No","","","","0","gstierley","Greg Stierley","2017-02-28","2017-02-28"
"AD Brand Pubs","","RS Addr 2 ","RS.ADDR2","16","Text","No","","","","0","gstierley","Greg Stierley","2017-02-28","2017-02-28"
"AD Brand Pubs","","RS Bonus No ","RS.BONUS.NO","21","Text","Yes","","","","0","gstierley","Greg Stierley","2017-02-28","2017-02-28"
"AD Brand Pubs","","RS City ","RS.CITY","17","Text","No","","","","0","gstierley","Greg Stierley","2017-02-28","2017-02-28"
"AD Brand Pubs","","RS Contact ","RS.CONTACT","13","Text","No","","","","0","gstierley","Greg Stierley","2017-02-28","2017-02-28"
"AD Brand Pubs","","RS Country ID","RS.COUNTRY","20","Text","No","","","","0","gstierley","Greg Stierley","2017-02-28","2017-02-28"
"AD Brand Pubs","","RS Email","RS.EMAIL","25","Text","No","","","","0","gstierley","Greg Stierley","2017-02-28","2017-02-28"
"AD Brand Pubs","","RS Fax ","RS.FAX","24","Text","No","","","","0","gstierley","Greg Stierley","2017-02-28","2017-02-28"
"AD Brand Pubs","","RS Item Type ","RS.ITEM.TYPE","22","Text","No","","","","0","gstierley","Greg Stierley","2017-02-28","2017-02-28"
"AD Brand Pubs","","RS Name ","RS.NAME","12","Text","No","","","","0","gstierley","Greg Stierley","2017-02-28","2017-02-28"
"AD Brand Pubs","","RS Phone ","RS.PHONE","23","Text","No","","","","0","gstierley","Greg Stierley","2017-02-28","2017-02-28"
"AD Brand Pubs","","RS Reqd Ind ","RS.REQD.IND","11","Text","No","","","","0","gstierley","Greg Stierley","2017-02-28","2017-02-28"
"AD Brand Pubs","","RS State ","RS.STATE","18","Text","No","","","","0","gstierley","Greg Stierley","2017-02-28","2017-02-28"
"AD Brand Pubs","","RS URL","RS.URL","26","Text","No","","","","0","gstierley","Greg Stierley","2017-02-28","2017-02-28"
"AD Brand Pubs","","RS Zip ","RS.ZIP","19","Text","No","","","","0","gstierley","Greg Stierley","2017-02-28","2017-02-28"
"AD Brand Pubs","","SQL Ack Agency Name ID","SQL.ACK.AGENCY.NAME.ID","41","Numeric","No","","","","0","gstierley","Greg Stierley","2017-02-28","2017-02-28"
"AD Brand Pubs","","Sql Agency Name Id ","SQL.AGENCY.NAME.ID","40","Numeric","No","","","","0","gstierley","Greg Stierley","2017-02-28","2017-02-28"
"AD Brand Pubs","","SQL Contact Email Address","SQL.CONTACT.EMAIL.ADDR","45","Text","Yes","","","","0","gstierley","Greg Stierley","2017-02-28","2017-02-28"
"AD Brand Pubs","","SQL Contact Method Of Contact ","SQL.CONTACT.METHOD.OF.CONTACT","44","Text","Yes","","","","0","gstierley","Greg Stierley","2017-02-28","2017-02-28"
"AD Brand Pubs","","SQL Contact Name ID","SQL.CONTACT.NAME.ID","43","Numeric","Yes","","","","0","gstierley","Greg Stierley","2017-02-28","2017-02-28"
"AD Brand Pubs","","SQL Name ID","SQL.NAME.ID","60","Numeric","No","","","","0","gstierley","Greg Stierley","2017-02-28","2017-02-28"
"AD Brand Pubs","","SQL Planning Agency Name ID","SQL.PLANNING.AGENCY.NAME.ID","42","Numeric","No","","","","0","gstierley","Greg Stierley","2017-02-28","2017-02-28"
"AD Brand Pubs","","Terms Code ","TERMS.CODE","46","Text","No","","","","0","gstierley","Greg Stierley","2017-02-28","2017-02-28"
"AD Brand Pubs","","Territory ID","TERRITORY.ID","5","Text","No","","","","0","gstierley","Greg Stierley","2017-02-28","2017-02-28"
"AD Brand Pubs","","Udf No ","UDF.NO","6","Numeric","No","","","","0","gstierley","Greg Stierley","2017-02-28","2017-02-28"
"AD Brand Pubs","","Udf Value ","UDF.VALUE","7","Text","No","","","","0","gstierley","Greg Stierley","2017-02-28","2017-02-28"
"AD Brand Pubs Reps","","Advertiser ID","CLIENT.ID","0","Text","No","","","","0","poconnor","Pat O'Connor","2016-01-06","2016-01-06"
"AD Brand Pubs Reps","","Brand Code","BRAND.CODE","0","Text","No","","","","0","poconnor","Pat O'Connor","2016-01-06","2016-01-06"
"AD Brand Pubs Reps","","Brand ID","BRAND.ID","0","Text","No","","","","0","poconnor","Pat O'Connor","2016-01-06","2016-01-06"
"AD Brand Pubs Reps","","Effective Date","EFFECTIVE.DATE","1","Date","No","","","","0","poconnor","Pat O'Connor","2016-01-07","2016-01-07"
"AD Brand Pubs Reps","","Effective Period","EFFEC_DATE","1","Text","No","","","","0","ADMIN","Greg Stierley","2011-10-12","2016-01-07"
"AD Brand Pubs Reps","","Import ID","IMPORT.ID","9","Numeric","No","","","","0","ADMIN","System Administrator","2024-09-09","2024-09-09"
"AD Brand Pubs Reps","","Last Changed By User Id","CHANGED_BY","4","Text","No","","","","0","ADMIN","Greg Stierley","2011-10-12","2012-01-18"
"AD Brand Pubs Reps","","Last Changed Date","CHANGED_DATE","5","Date","No","","","","0","ADMIN","Greg Stierley","2011-10-12","2012-01-18"
