sml_field_description,sml_attribute_number,sml_alias,sml_screen,sml_informer_mapping,sml_field_name,sml_screen_order
Allowed Status Codes,105,,Ad Security,GEN Security File<105>,IN Status Codes,
Allowed to Edit Campaigns Y/N,152,,Ad Security,GEN Security File<152>,IN Edit Campaigns,
Allowed to change Curret Reps Y/N,153,,Ad Security,GEN Security File<153>,IN Change Current Reps,
Allowed to change Original Reps Y/N,154,,Ad Security,GEN Security File<154>,IN Change Orig Reps,
Allowed to change the Agency Y/N,155,,Ad Security,GEN Security File<155>,IN Change Agency,
Allowed to change the Billing Contact Y/N,156,,Ad Security,GEN Security File<156>,IN Change Billing Contact,
Allowed to change the Terms Code Y/N,157,,Ad Security,GEN Security File<157>,IN Change Terms,
Allowed to Cancel Campaigns Y/N,158,,Ad Security,GEN Security File<158>,IN Cancel Campaigns,
Allowed to create Brands from Campaign Entry Y/N,159,,Ad Security,GEN Security File<159>,IN Permit Create Brands,
Allowed to enter new Campaigns Y/N,160,,Ad Security,GEN Security File<160>,IN Permit New Campaigns,
Mandatory entry of Ratecard for Pricing Ind. Y/N,150,,Ad Security,GEN Security File<150>,IN Ratecard Required,
Allowed to enter New Campaigns before today Ind. Y/N,329,,Ad Security,GEN Security File<329>,IN Campaign Dates,
Allowed to change the Tax Code on a Line Ind. Y/N,173,,Ad Security,GEN Security File<173>,IN Override Tax Ind,
Allowed to access Setup Screens Y/N,218,,Ad Security,GEN Security File<218>,IN Allow Setup,
Allowed to change a Campaign's Type Y/N,221,,Ad Security,GEN Security File<221>,IN Change Type,
Allowed to enter Pre-Payments Y/N,222,,Ad Security,GEN Security File<222>,IN Enter PP,
Allowed to used Brands with no rep assignment Y/N,224,,Ad Security,GEN Security File<224>,IN Assign Reps,
Allowed to override Currency Code Y/N,225,,Ad Security,GEN Security File<225>,IN Override Currency,
Allowed to create Advertisers from Campaign Entry Y/N,247,,Ad Security,GEN Security File<247>,IN Create Advertisers,
Allowed to override G/L Periods Y/N,328,,Ad Security,GEN Security File<328>,IN Change Period,
Is Order Contact Mandatory Y/N,348,,Ad Security,GEN Security File<348>,IN Mandatory Order Contact,
"Validate Sponsorship Inventory (W=Warn,S=Stop,N=No)",350,,Ad Security,GEN Security File<350>,IN Val Sponsorship Ind,
"Validate Impression Inventory (W=Warn,S=Stop,N=No)",351,,Ad Security,GEN Security File<351>,IN Val Impressions Ind,
Inventory - allowed to oversell Impressions by percentage,352,,Ad Security,GEN Security File<352>,IN Impressions Oversell Pct,
"Default Campaign Type (M=Performace,F=Flexible)",367,,Ad Security,GEN Security File<367>,IN Dflt Campaign Type,
