sml_field_description,sml_attribute_number,sml_alias,sml_screen,sml_informer_mapping,sml_field_name,sml_screen_order
Default Campaign Status Code,409,,Ad Security,GEN Security File<409>,IN Dflt Status Code,1
"Default Stats Code if Client is set to ""PrePayment Reqd.""",480,,Ad Security,GEN Security File<480>,IN Dflt PP Status,2
Bulk Change Campaign Status - Auto apply COA when Confirming Y/N,469,,Ad Security,GEN Security File<469>,IN Auto Apply COA,3
Allowed Status Codes,105,,Ad Security,GEN Security File<105>,IN Status Codes,4
Prevent Entry of Opportunities if customer not approved Y/N,437,,Ad Security,GEN Security File<437>,IN Approval Prevent Opps,6
Prevent Entry of Orders if customer not approved Y/N,438,,Ad Security,GEN Security File<438>,IN Approval Prevent Orders,7
Prevent Entry of Quotes if customer not approved Y/N,439,,Ad Security,GEN Security File<439>,IN Approval Prevent Quotes,8
New Advertiser Default - requires Pre-Payment Y/N,449,,Ad Security,GEN Security File<449>,IN Adv Dflt Pre Pay,9
Proposals must be approved by a Manager Y/N,441,,Ad Security,GEN Security File<441>,IN Proposal Approval Reqd,10
Proposals must be approved by a Manager - min. Value (2 decimal places),442,,Ad Security,GEN Security File<442>,IN Proposal Approval Min Val,11
Proposals must be approved by a Manager - if % discount on any line exceeds,443,,Ad Security,GEN Security File<443>,IN Proposal Approval Line Pct,12
Proposals must be approved by a Manager - if % discount on Campaign exceeds,444,,Ad Security,GEN Security File<444>,IN Proposal Approval Camp Pct,13
Maximum Discount % on a line,401,,Ad Security,GEN Security File<401>,IN Max Disc Pct,14
Incentives - auto adjust over-applied Incentives Y/N,475,,Ad Security,GEN Security File<475>,IN Incentive Auto Adjust,15
Incentives - auto adjust over-applied Incentives - Status Codes,476,,Ad Security,GEN Security File<476>,Incentive Auto Adjust Codes,16
Allowed to enter new Campaigns Y/N,160,,Ad Security,GEN Security File<160>,IN Permit New Campaigns,17
Allowed to Edit Campaigns Y/N,152,,Ad Security,GEN Security File<152>,IN Edit Campaigns,18
Allowed to Cancel Campaigns Y/N,158,,Ad Security,GEN Security File<158>,IN Cancel Campaigns,19
"Default Campaign Type (M=Performace,F=Flexible)",367,,Ad Security,GEN Security File<367>,IN Dflt Campaign Type,20
Allowed to change Original Reps Y/N,154,,Ad Security,GEN Security File<154>,IN Change Orig Reps,21
Allowed to change Curret Reps Y/N,153,,Ad Security,GEN Security File<153>,IN Change Current Reps,22
Allowed to change the Agency Y/N,155,,Ad Security,GEN Security File<155>,IN Change Agency,23
Allowed to change the Terms Code Y/N,157,,Ad Security,GEN Security File<157>,IN Change Terms,24
Allowed to change the Billing Contact Y/N,156,,Ad Security,GEN Security File<156>,IN Change Billing Contact,25
Allowed to create Advertisers from Campaign Entry Y/N,247,,Ad Security,GEN Security File<247>,IN Create Advertisers,26
Allowed to create Brands from Campaign Entry Y/N,159,,Ad Security,GEN Security File<159>,IN Permit Create Brands,27
Allowed to change Campaign discount on Brands Y/N,414,,Ad Security,GEN Security File<414>,IN Change Brand Discount Ind,28
Allowed to used Brands with no rep assignment Y/N,224,,Ad Security,GEN Security File<224>,IN Assign Reps,29
"Set Reps on a new Brand to ""Assign at Order Entry""",382,,Ad Security,GEN Security File<382>,IN Set Reps to All,30
"Save OE Rep assignments back to the Brand (Y=Group,P=Pub,D=Default,A=Ask,N=no)",381,,Ad Security,GEN Security File<381>,IN Save Reps On Brand,31
Allowed to enter New Campaigns before today Ind. Y/N,329,,Ad Security,GEN Security File<329>,IN Campaign Dates,32
Prevent Confirming Campaign if any lines Start before Today Y/N,427,,Ad Security,GEN Security File<427>,IN Prevent Confirm Ind,33
Proposals must be approved by a Manager - prevent Approval if credit check fails,448,,Ad Security,GEN Security File<448>,IN Proposal Credit Check Ind,34
Allowed to change a Campaign's Type Y/N,221,,Ad Security,GEN Security File<221>,IN Change Type,35
Allowed to enter Pre-Payments Y/N,222,,Ad Security,GEN Security File<222>,IN Enter PP,36
Order Entry - allowed Payment Types,464,,Ad Security,GEN Security File<464>,IN Allowed Pay Types,37
Order Entry - allow pre-payment overpayment if payment is by a cheque Y/N,466,,Ad Security,GEN Security File<466>,IN Allow PP Overpayment,38
Allowed to override Currency Code Y/N,225,,Ad Security,GEN Security File<225>,IN Override Currency,39
Is Order Contact Mandatory Y/N,348,,Ad Security,GEN Security File<348>,IN Mandatory Order Contact,40
Allowed to Change I/O Received Flag on a Confirmed Campaign Y/N,435,,Ad Security,GEN Security File<435>,IN Change to Flag,41
"Default Flexible Campaign Billing Type (D=Dynamic,M=Manual)",368,,Ad Security,GEN Security File<368>,IN Dflt Billing Type,42
Allowed to override G/L Periods Y/N,328,,Ad Security,GEN Security File<328>,IN Change Period,43
Diable editing of Confirmation before sending Y/N,454,,Ad Security,GEN Security File<454>,IN Disable Conf Changes,44
"Default Credit Card ""Pay Later"" option to False on Campaign Entry Y/N",461,,Ad Security,GEN Security File<461>,IN Dflt CC Pay Later,45
Campaigns - Allow Auto Payments Y/N,453,,Ad Security,GEN Security File<453>,IN Auto Payment Ind,46
Allowed to Assign Rep % > 100% Y/N,250,,Ad Security,GEN Security File<250>,AD Exceed 100 Pct,47
Campaign Description Required Y/N,456,,Ad Security,GEN Security File<456>,IN Campaign Desc Reqd,48
Allowed to override Customer's Pre-Payment required Y/N,482,,Ad Security,GEN Security File<482>,IN Allow PP Override,49
Mandatory entry of Ratecard for Pricing Ind. Y/N,150,,Ad Security,GEN Security File<150>,IN Ratecard Required,50
Prevent Changes to G/L Type in Line Entry Y/N,436,,Ad Security,GEN Security File<436>,IN Change GL Type,51
Allowed to change the Tax Code on a Line Ind. Y/N,173,,Ad Security,GEN Security File<173>,IN Override Tax Ind,52
Do not allow chnges to past Campaign Lines on Flexible Campaigns Y/N,379,,Ad Security,GEN Security File<379>,IN Restrict Changes Ind,53
Default setting for Proportion Lines by day or month,383,,Ad Security,GEN Security File<383>,IN Proportion Option,54
Campaign Lines - prevent the use of Custom revenue allocation,452,,Ad Security,GEN Security File<452>,IN Prevent Custom Alloc,55
Disable Amount changes when doing Custom Allocations on Digital Lines (not Flat Fee),478,,Ad Security,GEN Security File<478>,Disable Amount Changes Ind,56
Allowed to bypass Issue Closing Dates Y/N,445,,Ad Security,GEN Security File<445>,IN Bypass Closing Date,57
Audience field Required on Newsletter Lines Y/N,446,,Ad Security,GEN Security File<446>,IN Aud Reqd Ind,58
No changes to Section/Position if they were set on a Ratecard Y/N,447,,Ad Security,GEN Security File<447>,IN Section Position Ind,59
Warn if Duplicate Issues are selected on line Y/N,455,,Ad Security,GEN Security File<455>,IN Duplicate Warning,60
Order Entry - allow removal of Auto Adjustments Y/N,465,,Ad Security,GEN Security File<465>,IN Allow Auto Adj Override,61
Disable Discount % on Quick Line Entry Y/N,467,,Ad Security,GEN Security File<467>,IN Disable Disc Pct,62
Lock Pricing on Quick Line Entry Y/N,468,,Ad Security,GEN Security File<468>,IN Lock Pricing Ind,63
"Prevent removal of prior, unbilled dates on a Campaign Line",470,,Ad Security,GEN Security File<470>,IN Prevent Date Change,64
Prevent adding / editing Material in Campaign Line Entry Y/N,472,,Ad Security,GEN Security File<472>,IN Prevent Material Changes,65
Display a warning before saving a line edit that results in a price change,496,,Ad Security,GEN Security File<496>,Warn Price Change Ind,66
Billing - retrict Generation to Campaigns prepared by the User,451,,Ad Security,GEN Security File<451>,IN Restrict Billing Ind,67
Billing - Allow posting to A/R,403,,Ad Security,GEN Security File<403>,IN Post to AR Ind,68
"Validate Sponsorship Inventory (W=Warn,S=Stop,N=No)",350,,Ad Security,GEN Security File<350>,IN Val Sponsorship Ind,69
"Validate Impression Inventory (W=Warn,S=Stop,N=No)",351,,Ad Security,GEN Security File<351>,IN Val Impressions Ind,70
Inventory - allowed to oversell Impressions by percentage,352,,Ad Security,GEN Security File<352>,IN Impressions Oversell Pct,71
"Require valid DFP Innventory when nusing a DFP Template (N=No,S=Stop,W=Warn)",422,,Ad Security,GEN Security File<422>,DFP Validation Opt,72
"Which DFP Inventory number to use (A=Available,P=Possible)",424,,Ad Security,GEN Security File<424>,DFP Inventory Number,73
Allowed oversell Percentage,423,,Ad Security,GEN Security File<423>,DFP Oversell Pct,74
Default View on Rep Delivery Report,462,,Ad Security,GEN Security File<462>,IN Rep Delivery Dflt View,75
Run GAM inventory check on line update Y/N,477,,Ad Security,GEN Security File<477>,Run GAM Inv Ck Line Upd,76
Allowed to access Setup Screens Y/N,218,,Ad Security,GEN Security File<218>,IN Allow Setup,77
"Tracking Currencies - show All, Budget Only or None (A/B/N)",413,,Ad Security,GEN Security File<413>,AD Tracking Curr Opt,78
Only allow Campaign Entry thru Salesforce.com Canvas integration Y/N,463,,Ad Security,GEN Security File<463>,IN SF Canvas Ind,79
Advertisers - Client Type is Reqd Y/N,474,,Ad Security,GEN Security File<474>,AD Client Type Reqd Ind,80
List of all available CRM Reports - Unique Id,-1,,Ad Security,DO WE NEED THIS?,?,-1
List of all available CRM Reports - Desc.,-1,,Ad Security,DO WE NEED THIS?,?,-1
List of selected CRM Reports - Unique Id,-1,,Ad Security,DO WE NEED THIS?,?,-1
List of selected CRM Reports - Desc.,-1,,Ad Security,DO WE NEED THIS?,?,-1
Allow use of ALL when posting Batches,43,,AP Security,GEN Security File<43>,All Ap Batches To Post,0
Prevent override of Check Number,82,,AP Security,GEN Security File<82>,Chk Mod,1
Prevent Changes to 1099 Amount in Invoice Inquiry,104,,AP Security,GEN Security File<104>,Disallow Chg 1099 Amt,2
Prevent Invoice Amount to exceed P.O. Line Amounts,327,,AP Security,GEN Security File<327>,Inv Amt wont exceed PO Line Amt,3
Require Balancing Invoice Batches before Posting,364,,AP Security,GEN Security File<364>,AP Batch Balance Ind,4
Vendor Maintenance - Allowed to Change Tax Id,355,,AP Security,GEN Security File<355>,Allowed To Change Ven Tax ID,5
Allowed to change Vendor Auto Clearing Info,52,,AP Security,GEN Security File<52>,Allow Vend Acct,6
Prevent changing status from to STOP to PAY or HOLD,100,,AP Security,GEN Security File<100>,Chk Stop,7
Bank Reconcilaition - Allowed to Re-Open a Closed Statement,356,,AP Security,GEN Security File<356>,AP Reopen Bank Rec,8
Allowed to enter Quote / Requisitions Y/N,369,,AP Security,GEN Security File<369>,AP Enter Quotes,9
Allowed to enter P.O.s Y/N,370,,AP Security,GEN Security File<370>,AP Enter Pos,10
Allowed to Approve Purchase Orders,295,,AP Security,GEN Security File<295>,PO Allowed,11
Allowed to Enter P.O. Receipts Y/N,372,,AP Security,GEN Security File<372>,AP Enter PO Receipts,12
Allowed to Re-open a Closed P.O. Y/N,373,,AP Security,GEN Security File<373>,AP Reopen Pos,13
"Invoice Entry - Suppress ""Import all P.O. Lines"" prompt Y/N",408,,AP Security,GEN Security File<408>,AP Suppress Import PO Prompt,14
Add a Contacted Note Y/N,320,,AR Group Security,GEN Security File<320>,AR CC Contacted Note,1
Add an Internal Note,321,,AR Group Security,GEN Security File<321>,AR CC Internal Note,2
Add New Contacts Y/N,323,,AR Group Security,GEN Security File<323>,AR CC New Contacts,3
Edit Contacts Y/N,324,,AR Group Security,GEN Security File<324>,AR CC Edit Contacts,4
Send Emails Y/N,322,,AR Group Security,GEN Security File<322>,AR CC Emails,5
Account Summary Screen - sort oldest Invoices first,375,,AR Group Security,GEN Security File<375>,AR Dflt Invoice Sort,6
Allowed to Enter Credit Card Payments Y/N,261,,AR Group Security,GEN Security File<261>,AR CC Entry,8
Allowed to Enter a new Check Y/N,260,,AR Group Security,GEN Security File<260>,AR Check Entry,9
Allowed to Enter G/L Cash Y/N,262,,AR Group Security,GEN Security File<262>,AR GL Cash Entry,10
Prompt for Receipt in non Batch Entry Cash Receipts,385,,AR Group Security,GEN Security File<385>,AR.RECEIPT.PROMPT,11
Cash Entry - sort Open Invoices by oldest first,405,,AR Group Security,GEN Security File<405>,AR Cash Inv Sort Ind,12
Allowed to Apply Cash on Account that is flagged as a Pre-Payment Y/N,263,,AR Group Security,GEN Security File<263>,AR Cash Allow Realloc PP,13
Cash on Account - Default Type,264,,AR Group Security,GEN Security File<264>,AR Cash COA Module,14
Cash on Account - Mandatory entry of a Product Y/N,265,,AR Group Security,GEN Security File<265>,AR Cash Mandatory,15
Allowed to apply Terms Discount after grace days Y/N,266,,AR Group Security,GEN Security File<266>,AR Cash Disc After Grace,16
Allowed to apply Terms Discount - grace days after allowed date,267,,AR Group Security,GEN Security File<267>,AR Cash Disc Grace Days,17
Operator Discounts - Allowed to Manually enter Discounts Y/N,268,,AR Group Security,GEN Security File<268>,AR Cash Allow Manual Disc,18
Operator Discounts - Maximum Discount as a % of Invoice Balance,269,,AR Group Security,GEN Security File<269>,AR Cash Manual Disc Max Pct,19
Cash Entry - Maximum Cash on Account Write-Off Amount,397,,AR Group Security,GEN Security File<397>,AR Cash Max COA Amt,20
"Allowed to use ""Also Pays for"" Y/N",272,,AR Group Security,GEN Security File<272>,AR Cash Allow Also Pays For,21
Allowed to pay Invoices for other Customers Y/N,273,,AR Group Security,GEN Security File<273>,Allow Pay for Others Ind,22
Batches - Batch number required on New Checks Y/N,276,,AR Group Security,GEN Security File<276>,AR Cash Batch Reqd,23
Batches - Allowed to Create Batches Y/N,290,,AR Group Security,GEN Security File<290>,AR Cash Create Batch,24
Batches - Allowed to Delete Batches Y/N,291,,AR Group Security,GEN Security File<291>,AR CAsh Delete Batch,25
Batches - Allowed to close a Batch if it doesn't tally Y/N,292,,AR Group Security,GEN Security File<292>,AR Cash Close Batch,26
Batches - Allowed to Override Bank Code Y/N,293,,AR Group Security,GEN Security File<293>,AR Cash Override Bank,27
Batches - Allowed to Override Period Y/N,294,,AR Group Security,GEN Security File<294>,AR Cash Override Period,28
Allowed to unallocate previously paid Invoices Y/N,274,,AR Group Security,GEN Security File<274>,AR Cash Allow Unallocate,29
Allowed to create DB/CR notes Y/N,275,,AR Group Security,GEN Security File<275>,AR Cash Allow Create DB CR,30
Cash Entry - Default Reversing Debits Question to YES,396,,AR Group Security,GEN Security File<396>,AR Cash Dlft Debits Ind,31
Allowed to over Pay Invoices Y/N,108,,AR Group Security,GEN Security File<108>,AR Cash Allow Overpay,32
Allowed to apply check to Orders (for Pre-Payment),280,,AR Group Security,GEN Security File<280>,AR Allow Cash PP,33
Allowed to Return Checks Y/N,281,,AR Group Security,GEN Security File<281>,AR Allow Return Checks,34
Allowed to Delete (Unposted) Checks Y/N,282,,AR Group Security,GEN Security File<282>,AR Cash Allow Delete Checks,35
Allowed to Transfer Checks Y/N,283,,AR Group Security,GEN Security File<283>,AR Cash Allow Check Transfer,36
Allowed to apply Credit Notes Y/N,287,,AR Group Security,GEN Security File<287>,AR Allow Apply Credits,37
Allowed to Reverse an Applied Credit Note Y/N,288,,AR Group Security,GEN Security File<288>,AR Allow Credit Reversals,38
Allowed to Change a Payment's Cash on Account Reason Y/N,215,,AR Group Security,GEN Security File<215>,Allow Update COA Reason,39
